NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
05235284,1,55,56,2023,2022,0,.00000,.00000,2,.12000,.12000,36,D,.03230,.03230,73000,D,0,D,0,D,0,D,0,D,0,D,0,D,1000,D,285,D,0,D,0,D,0,D,0,D,1184,D,5097,1611,5241,5025,1644,1594,5241,5025,5585,5585,0,0,0,0,0,0,0,0,0,0,0,0,73000,73000,47100,45300,0,0,4300,4300,0,0,68700,63873,0,0,0,0,0
05235304,1,45,48,2023,2022,3,.00000,.00000,2,.21060,.21060,33,D,.10520,.07410,0,D,38000,D,0,D,0,D,0,D,0,D,0,D,4000,D,0,D,0,D,1,D,2,D,2,D,0,D,-7377,-2074,-6692,-7719,-1808,-2208,1210,1030,2907,2907,0,0,0,0,1210,1030,3000,3200,0,0,3692,4519,38000,38000,12100,10300,0,0,3000,3000,16050,16050,18950,16438,0,0,0,0,0
05235304,2,27,0,2023,2022,0,.00000,.00000,1,.12000,.12000,33,D,.05850,.05850,43000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,3329,1802,3401,3293,1834,1786,3401,3293,3290,3290,0,0,0,0,0,0,0,0,0,0,0,0,43000,43000,30050,29150,0,0,0,0,8000,8000,35000,32157,0,0,0,0,0
05235314,1,82,0,2023,2022,0,.00000,.00000,1,.00000,.00000,44,D,.00000,.00000,0,D,0,D,0,D,0,D,14915,D,0,D,0,D,0,D,150,D,0,D,0,D,0,D,0,D,480,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05235324,1,54,0,2023,2022,3,.00000,.00000,1,-.4500,-.4500,18,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,5448,D,0,D,0,D,0,D,1,D,3,D,3,D,0,D,0,0,0,0,0,0,0,0,0,0,5448,5448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2770,2770,0,0,0,0,0,0,0
05235374,1,69,63,2023,2022,0,.00000,.00000,2,.24000,.24000,0,T,.00000,.00000,258946,D,18631,D,0,D,0,D,25535,D,0,D,0,D,1800,D,851,D,0,D,0,D,0,D,0,D,0,D,49059,0,49347,48915,0,0,49347,48915,14294,14703,0,0,0,0,0,0,0,0,0,0,0,0,284282,284282,256982,255182,0,0,0,0,0,0,0,0,0,0,0,0,0
05235374,2,28,0,2023,2022,0,.00000,.00000,1,.22000,.22000,0,T,.00000,.00000,60827,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,6018,0,6150,5952,0,0,6150,5952,4653,4653,0,0,0,0,0,0,0,0,0,0,0,0,60827,60827,47877,46977,0,0,0,0,0,0,0,0,0,0,0,0,0
05235394,1,37,40,2023,2022,3,.00000,.00000,2,.33060,.12000,05,D,.00000,.00000,27000,D,34462,D,0,D,0,D,0,D,0,D,24060,D,0,D,6146,D,3200,D,2,D,3,D,3,D,4519,D,-3197,0,-2784,-3404,0,0,3856,3640,4702,4702,24060,24060,0,0,3216,3000,2784,3000,640,640,0,404,61462,61462,35562,33762,0,0,0,0,10404,10404,50797,46994,0,0,275,257,0
05235444,1,39,37,2023,2022,3,.00000,.00000,2,.12000,.12000,0,T,.00000,.00000,74000,D,0,D,0,D,0,D,0,D,0,D,0,D,800,D,140,D,0,D,0,D,3,D,3,D,1720,D,-1144,0,-1000,-1216,0,0,5000,4784,5661,5661,0,0,0,0,5000,4784,1000,1216,0,0,0,0,70995,70995,45095,43295,0,0,0,0,0,0,0,0,0,0,0,0,0
05235534,1,64,66,2023,2022,0,.00000,.00000,2,.12000,.12000,07,D,.08950,.08960,0,D,58268,D,0,D,0,D,39798,D,0,D,0,D,7400,D,897,D,0,D,0,D,0,D,0,D,0,D,7432,1303,7576,7360,1487,1211,7576,7360,4458,4458,0,0,0,0,0,0,0,0,0,0,0,0,93860,93860,66560,64760,0,0,11968,15937,0,0,48064,40126,300,300,0,0,0
05235544,1,65,64,2023,2022,2,.00000,.00000,2,-.0765,-.0765,34,D,.00000,.00000,0,D,0,D,5980,D,0,D,0,D,0,D,0,D,4000,D,498,D,0,D,0,D,0,D,0,D,20640,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5980,5980,0,0,0,0,0,0,25500,25500,0,0,0,0,0,0,0
05235584,1,63,62,2023,2022,0,.00000,.00000,2,.22000,.22000,05,D,.09300,.09300,90000,D,70000,D,0,D,0,D,0,D,0,D,0,D,5400,D,0,D,0,D,0,D,0,D,0,D,0,D,20010,6575,20274,19878,6941,6392,20274,19878,12240,12240,0,0,0,0,0,0,0,0,0,0,0,0,157900,157900,132000,130200,0,0,0,0,10404,10404,147496,137056,0,0,0,0,0
05235614,1,33,31,2023,2022,0,.00000,.00000,2,.22000,.22000,23,D,.04250,.04250,65000,D,70000,D,0,D,0,D,0,D,0,D,0,D,3200,D,65,D,0,D,0,D,0,D,0,D,14840,D,13234,4957,13498,13102,4977,4947,13498,13102,10328,10328,0,0,0,0,0,0,0,0,0,0,0,0,127101,127101,101201,99401,0,0,10000,10000,0,0,117101,108698,0,0,0,0,0
05235624,1,54,59,2023,2022,2,.00000,.00000,2,.12000,.12000,33,D,.05850,.05850,36000,D,32000,D,0,D,0,D,0,D,0,D,17868,D,0,D,65,D,0,D,0,D,1,D,2,D,8340,D,1997,1987,2141,1925,2077,1942,4641,4425,5202,5202,17868,17868,0,0,2500,2500,0,0,0,0,0,0,68000,68000,42100,40300,0,0,2000,2000,16050,16050,49950,45454,0,0,0,0,0
05235674,1,67,0,2023,2022,0,.00000,.00000,1,.00000,.00000,05,D,.00000,.00000,0,D,0,D,0,D,13872,D,23423,D,0,D,0,D,1300,D,172,D,0,D,0,D,0,D,0,D,5372,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14164,14164,0,0,0,0,0,0,5202,5202,7028,6563,0,0,0,0,0
