ALCNO,FSA,FSA_,HHIANYPD,HHIA_YPD,HHIBCBS,HHIBCBS_,HHICOVQ,HHICOVQ_,HHIGROUP,HHIG_OUP,HHIIRGXB,HHII_GXB,HHILSTTM,HHIL_TTM,HHIPDLIB,HHIPRDED,HHIPROUT,HHIPRYOU,HHIP_DED,HHIP_LIB,HHIP_OUT,HHIP_YOU,HHIRPMPD,HHIRPMXB,HHIR_MPD,HHIR_MXB,HHISTILL,HHISUBPD,HHIS_BPD,HHIS_ILL,HSAHRA,HSAHRA_,MEDIGAP,MEDIGAP_,NEWID,PLNMGD,PLNMGD_,PORTAL,PORTAL_,PORTPLAN,PORT_LAN,PREMSUBS,PREM_UBS,QHHP3MX,QHHP3MX_,RECTYPE,REC_ORIG,REC_STAT,SEQNO,SSTYPE,SSTYPE_,QYEAR
0,,C,,A,,A,4,D,2,D,,A,,A,1,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05285594,1,D,,A,,A,,A,,A,HHP,5,1,5,,A,20234
0,1,D,1,D,,A,4,D,2,D,,A,1,D,1,1,,1,D,D,A,D,03,675,D,D,1,,A,D,2,D,,A,05285624,2,D,,A,,A,,A,4050,D,HHP,5,1,16,,A,20234
0,2,D,1,D,,A,1,D,2,D,,A,1,D,1,2,,1,D,D,A,D,04,668,D,D,1,,A,D,,A,,A,05285724,1,D,,A,,A,,A,2004,D,HHP,5,1,11,,A,20234
0,,A,1,D,,A,2,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,120,D,D,1,,A,D,,A,,A,05285744,,A,,A,,A,,A,360,D,HHP,5,1,7,1,D,20234
0,,A,1,D,,A,2,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,86,D,D,1,,A,D,,A,,A,05285774,,A,,A,,A,,A,258,D,HHP,5,1,6,1,D,20234
0,2,D,1,D,,A,2,D,2,D,,A,1,D,2,2,,1,D,D,A,D,04,584,D,D,1,,A,D,,A,,A,05285774,1,D,,A,,A,,A,1752,D,HHP,5,1,7,,A,20234
0,2,D,1,D,,A,2,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,222,D,D,1,,A,D,2,D,,A,05285794,2,D,,A,,A,,A,666,D,HHP,5,1,4,,A,20234
0,,A,2,D,,A,2,D,2,D,,A,,A,1,1,,1,D,D,A,D,04,,D,A,1,,A,D,,A,,A,05285844,,A,,A,,A,,A,,A,HHP,5,1,7,5,D,20234
0,2,D,,A,,A,2,D,2,D,,A,,A,2,,1,2,A,D,D,D,,,A,A,,,A,A,1,D,,A,05285844,1,D,,A,,A,,A,,A,HHP,1,1,8,,A,20234
0,,A,1,D,,A,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,01,1,D,D,1,,A,D,,A,,A,05285874,,A,,A,,A,,A,13,D,HHP,5,1,5,1,D,20234
0,,A,1,D,,A,1,D,2,D,,A,1,D,2,1,,1,D,D,A,D,01,1,D,D,1,,A,D,,A,,A,05285874,,A,,A,,A,,A,13,D,HHP,5,1,6,4,D,20234
0,2,D,1,D,,A,1,D,2,D,,A,1,D,3,1,,1,D,D,A,D,01,10,D,D,1,,A,D,,A,,A,05285874,1,D,,A,,A,,A,130,D,HHP,5,1,7,,A,20234
0,,A,1,D,,A,1,D,2,D,,A,1,D,1,2,,1,D,D,A,D,04,40,D,D,1,,A,D,,A,,A,05285904,,A,,A,,A,,A,120,D,HHP,5,1,13,1,D,20234
0,,A,,A,,A,1,D,1,D,,A,,A,2,,2,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05285904,,A,,A,,A,,A,,A,HHP,5,1,14,2,D,20234
0,2,D,,A,,A,1,D,1,D,,A,,A,3,2,,1,D,D,A,D,06,565,D,D,,,A,A,,A,,A,05285904,1,D,2,D,,A,,A,565,D,HHP,1,1,15,,A,20234
0,,A,1,D,,A,2,D,2,D,,A,1,D,1,1,,1,D,D,A,D,03,1,D,D,1,,A,D,,A,,A,05285944,,A,,A,,A,,A,6,D,HHP,5,1,17,1,D,20234
0,2,D,1,D,,A,2,D,2,D,,A,1,D,2,1,,1,D,D,A,D,03,160,D,D,1,,A,D,,A,,A,05285944,1,D,,A,,A,,A,960,D,HHP,5,1,18,,A,20234
