QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FCECODE,FCECODE_,FCESAV,FCESAV_,FCEMO,FCEMO_,FCESCHPD,FCES_HPD,FCESMTX,FCESMTX_,FCENUM2,FCEPURCH,JFCENMQV,FCENUM2_,JFCE_MQV
20232,05203343,6,0,1,225,D,,A,13,D,,A,,A,,,300,A,D
20232,05203583,7,0,1,310,D,,A,13,D,,A,,A,,,3000,A,D
20232,05203583,8,0,1,303,D,,A,03,D,,A,,A,,,3500,A,D
20232,05203663,8,0,1,100,D,1,D,01,D,,A,,A,,,2500,A,D
20232,05203663,9,0,1,100,D,1,D,02,D,,A,,A,,,2500,A,D
20232,05203663,10,0,1,100,D,1,D,03,D,,A,,A,,,2500,A,D
20232,05203973,6,0,1,200,D,,A,13,D,,A,,A,,,7461,A,D
20232,05203973,7,0,1,225,D,,A,03,D,,A,,A,,,80,A,D
20232,05204243,9,0,1,200,D,,A,02,D,,A,,A,,,150,A,D
20232,05204393,3,0,1,365,D,,A,03,D,,A,,A,,,125,A,D
20232,05204613,10,0,1,301,D,,A,13,D,,A,,A,,,2100,A,D
20232,05204813,7,0,1,321,D,,A,,A,4,D,,A,2,,200,D,D
20232,05204953,6,0,1,225,D,,A,13,D,,A,,A,,,1200,A,D
20232,05205003,5,0,1,100,D,2,D,13,D,,A,,A,,,180,A,D
20232,05205063,4,0,1,200,D,,A,13,D,,A,,A,,,2160,A,D
20232,05205063,5,0,1,302,D,,A,02,D,,A,,A,,,1800,A,D
20232,05205063,6,0,2,302,D,,A,01,D,,A,,A,,,1500,A,D
20232,05205343,9,0,1,303,D,,A,01,D,,A,,A,,1,10000,A,D
20232,05205343,10,0,1,303,D,,A,01,D,,A,,A,,1,1200,A,D
20232,05205343,11,0,1,365,D,,A,01,D,,A,,A,,1,200,A,D
20232,05205343,12,0,1,310,D,,A,13,D,,A,,A,,,1800,A,D
20232,05205343,13,0,1,310,D,,A,13,D,,A,,A,,,1200,A,D
20232,05205343,14,0,2,303,D,,A,01,D,,A,,A,,,10000,A,D
20232,05205363,6,0,1,321,D,,A,,A,4,D,,A,1,,100,D,D
20232,05205513,12,0,1,100,D,,C,13,D,,A,,A,,,2700,A,D
20232,05205773,4,0,1,225,D,,A,13,D,,A,,A,,,450,A,D
20232,05205863,16,0,1,100,D,2,D,13,D,,A,,A,,,1050,A,D
20232,05205863,17,0,1,303,D,,A,01,D,,A,,A,,1,493,A,D
20232,05205863,18,0,1,310,D,,A,13,D,,A,,A,,,4080,A,D
20232,05206143,4,0,1,303,D,,A,01,D,,A,,A,,1,5000,A,D
20232,05206383,6,0,1,400,D,,A,01,D,,A,,A,,1,,A,H
20232,05206383,6,1,1,303,D,,A,01,D,,A,,A,,1,5222,A,E
20232,05206383,6,2,1,310,D,,A,01,D,,A,,A,,1,4925,A,E
20232,05206383,6,3,1,321,D,,A,01,D,,A,,A,,1,298,A,E
20232,05206993,4,0,1,400,D,,A,13,D,,A,,A,,,,A,H
20232,05206993,4,1,1,365,D,,A,13,D,,A,,A,,,750,A,E
20232,05206993,4,2,1,301,D,,A,13,D,,A,,A,,,750,A,E
20232,05207403,5,0,1,345,D,,A,13,D,,A,,A,,,300,A,D
20232,05207543,6,0,1,225,D,,A,13,D,,A,,A,,,600,A,D
20232,05207543,7,0,1,321,D,,A,,A,4,D,,A,3,,450,D,D
20232,05207713,4,0,1,303,D,,A,13,D,,A,,A,,,30000,A,D
20232,05207843,3,0,1,400,D,,A,03,D,,A,,A,,,,A,H
20232,05207843,3,1,1,365,D,,A,03,D,,A,,A,,,18,A,E
20232,05207843,3,2,1,303,D,,A,03,D,,A,,A,,,732,A,E
20232,05208553,10,0,1,321,D,,A,,A,4,D,,A,1,,40,D,D
20232,05208703,5,0,1,200,D,,A,13,D,,A,,A,,,465,A,D
20232,05208703,6,0,1,225,D,,A,03,D,,A,,A,,,3770,A,D
20232,05208703,7,0,1,345,D,,A,13,D,,A,,A,,,489,A,D
20232,05208703,8,0,2,345,D,,A,01,D,,A,,A,,,130,A,D
20232,05209063,11,0,1,200,D,,A,13,D,,A,,A,,,750,A,D
20232,05209063,12,0,1,321,D,,A,,A,5,D,60,D,,,60,A,D
20232,05209093,3,0,1,200,D,,A,13,D,,A,,A,,,300,A,D
20232,05209153,13,0,1,700,D,,A,01,D,,A,,A,,,7532,A,D
20232,05209153,14,0,1,700,D,,A,02,D,,A,,A,,,7532,A,D
20232,05209153,15,0,1,700,D,,A,03,D,,A,,A,,,7532,A,D
20232,05209323,3,0,2,303,D,,A,01,D,,A,,A,,,3500,A,D
20232,05209423,5,0,1,310,D,,A,13,D,,A,,A,,,4500,A,D
20232,05209423,6,0,1,321,D,,A,,A,4,D,,A,3,,900,D,D
20232,05209423,15,0,1,310,D,,A,13,D,,A,,A,,,4500,A,D
20232,05209453,4,0,1,200,D,,A,13,D,,A,,A,,,3000,A,D
20232,05209453,5,0,1,321,D,,A,,A,4,D,,A,1,,20,D,D
20232,05209733,4,0,1,200,D,,A,13,D,,A,,A,,,240,A,D
20232,05210143,6,0,1,303,D,,A,13,D,,A,,A,,,36000,A,D
20232,05210313,4,0,1,303,D,,A,13,D,,A,,A,,,2400,A,D
20232,05210623,6,0,2,303,D,,A,01,D,,A,,A,,,16000,A,D
20232,05210623,7,0,2,365,D,,A,01,D,,A,,A,,,500,A,D
20232,05210733,5,0,1,310,D,,A,13,D,,A,,A,,,1500,A,D
20232,05210733,6,0,1,365,D,,A,13,D,,A,,A,,1,225,A,D
20232,05210743,6,0,1,100,D,2,D,13,D,,A,,A,,,600,A,D
20232,05210953,8,0,1,321,D,,A,,A,2,D,,A,12,4,480,D,D
20232,05211643,5,0,1,400,D,,A,03,D,,A,,A,,,,A,H
20232,05211643,5,1,1,365,D,,A,03,D,,A,,A,,,220,A,E
20232,05211643,5,2,1,321,D,,A,03,D,,A,,A,,,291,A,E
20232,05211643,5,3,1,345,D,,A,03,D,,A,,A,,,528,A,E
20232,05211643,5,4,1,301,D,,A,03,D,,A,,A,,,1761,A,E
20232,05211673,7,0,1,100,D,2,D,03,D,,A,,A,,,6000,A,D
20232,05211673,8,0,1,321,D,,A,,A,4,D,,A,3,,150,D,D
20232,05211833,5,0,1,100,D,2,D,13,D,,A,,A,,,150,A,D
20232,05212223,6,0,2,303,D,,A,01,D,,A,,A,,,150,A,D
20232,05212453,6,0,1,321,D,,A,,A,2,D,,A,12,,420,D,D
20232,05212453,7,0,1,303,D,,A,02,D,,A,,A,,,11995,A,D
20232,05212453,8,0,1,310,D,,A,13,D,,A,,A,,,2850,A,D
20232,05212533,4,0,1,225,D,,A,03,D,,A,,A,,,9600,A,D
20232,05212583,5,0,1,321,D,,A,,A,1,D,,A,13,,325,D,D
20232,05212583,6,0,1,321,D,,A,,A,1,D,,A,13,,260,D,D
20232,05212633,4,0,1,321,D,,A,,A,4,D,,A,1,,20,D,D
20232,05212663,10,0,1,400,D,,A,13,D,,A,,A,,,,A,H
20232,05212663,10,1,1,321,D,,A,13,D,,A,,A,,,1686,A,E
20232,05212663,10,2,1,301,D,,A,13,D,,A,,A,,,2904,A,E
20232,05212723,7,0,1,200,D,,A,01,D,,A,,A,,,516,A,D
20232,05212723,8,0,1,365,D,,A,03,D,,A,,A,,,35,A,D
