QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_,CLDPURCH
20233,05291012,4,0,1,460,D,1,D,04,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05291012,5,0,1,450,D,1,D,04,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05291092,3,0,1,120,D,1,D,04,D,980,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05291272,5,0,1,380,D,1,D,05,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05291322,2,0,1,120,D,1,D,05,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05291982,4,0,2,380,D,1,D,04,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05292492,3,0,1,450,D,1,D,06,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05292842,2,0,1,380,D,1,D,04,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05292842,3,0,1,380,D,1,D,05,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05292842,4,0,1,380,D,1,D,06,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05292952,3,0,1,380,D,2,D,04,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05293422,1,0,1,120,D,1,D,05,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05294212,1,0,1,380,D,1,D,06,D,214,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05294452,3,0,1,120,D,1,D,06,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05294452,4,0,1,380,D,1,D,05,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05294542,2,0,1,380,D,1,D,06,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05294662,4,0,1,380,D,1,D,06,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20233,05294862,5,0,1,120,D,1,D,06,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05295382,1,0,1,370,D,1,D,06,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20233,05295382,2,0,1,370,D,1,D,06,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20233,05295402,1,0,1,380,D,1,D,05,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05295402,2,0,1,380,D,2,D,05,D,475,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05295562,7,0,1,120,D,1,D,05,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05295632,4,0,1,450,D,1,D,05,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
