QYEAR,NEWID,MEMBNO,SEQNO,ALCNO,REC_ORIG,PBTPD,PBTPD_,PBTDAYX,PBTDAYX_,JPBTAMTX,JPBT_MTX
20232,05263732,2,6,0,1,2,D,,A,429,D
20232,05263932,1,33,0,1,4,D,,A,150,D
20232,05263992,1,19,0,1,4,D,,A,200,D
20232,05263992,2,20,0,1,4,D,,A,200,D
20232,05264012,1,5,0,1,3,D,,A,240,D
20232,05264182,1,9,0,1,7,D,,A,5,D
20232,05264872,1,21,0,1,7,D,,A,3,D
20232,05264872,2,22,0,1,7,D,,A,3,D
20232,05265872,1,6,0,1,3,D,,A,60,D
20232,05265942,1,14,0,1,3,D,,A,45,D
20232,05266762,2,24,0,1,2,D,,A,156,D
20232,05267182,1,18,0,1,2,D,,A,390,D
20232,05267522,1,41,0,1,7,D,,A,40,D
20232,05267522,2,42,0,1,7,D,,A,40,D
20232,05267522,3,43,0,1,7,D,,A,40,D
20232,05267522,4,44,0,1,7,D,,A,40,D
20232,05268722,1,14,0,1,6,D,,A,50,D
20232,05269372,1,44,0,1,3,D,,A,30,D
20232,05269472,3,42,0,1,4,D,,A,50,D
20232,05270052,2,33,0,1,7,D,,A,20,D
20232,05270102,2,13,0,1,1,D,5,D,780,D
20232,05270372,1,7,0,1,2,D,,A,52,D
20232,05271062,1,30,0,1,4,D,,A,50,D
20232,05271062,2,31,0,1,4,D,,A,50,D
20232,05271182,1,8,0,1,3,D,,A,120,D
20232,05271382,1,33,0,1,7,D,,A,68,D
20232,05271642,1,17,0,1,7,D,,A,350,D
20232,05272772,1,30,0,1,7,D,,A,10,D
20232,05273352,1,12,0,1,7,D,,A,2,D
20232,05273882,1,22,0,1,3,D,,A,120,D
20232,05274462,1,25,0,1,2,D,,A,520,D
20232,05274462,3,26,0,1,2,D,,A,520,D
20232,05274912,1,19,0,1,1,D,3,D,585,D
20232,05274912,2,20,0,1,2,D,,A,195,D
20232,05274912,3,21,0,1,2,D,,A,195,D
20232,05275442,1,18,0,1,2,D,,A,364,D
20232,05275852,1,5,0,1,3,D,,A,75,D
20232,05275852,2,6,0,1,3,D,,A,75,D
20232,05276142,1,13,0,1,2,D,,A,260,D
20232,05276142,2,14,0,1,3,D,,A,30,D
20232,05276522,1,19,0,1,3,D,,A,90,D
20232,05277322,1,22,0,1,3,D,,A,6,D
20232,05278532,3,22,0,1,2,D,,A,91,D
20232,05278532,4,23,0,1,2,D,,A,91,D
20232,05279692,1,24,0,1,3,D,,A,90,D
20232,05280262,1,27,0,1,3,D,,A,300,D
20232,05280652,1,16,0,1,1,D,1,D,26,D
20232,05280652,2,17,0,1,1,D,5,D,325,D
20232,05280652,3,18,0,1,1,D,5,D,325,D
20232,05280652,4,19,0,1,1,D,5,D,325,D
20232,05280712,1,53,0,1,3,D,,A,60,D
20232,05280952,1,24,0,1,2,D,,A,520,D
20232,05281232,1,18,0,1,4,D,,A,5,D
20232,05282392,1,9,0,1,3,D,,A,300,D
20232,05283022,1,9,0,1,3,D,,A,120,D
20232,05283242,1,11,0,1,1,D,1,D,52,D
20232,05284092,1,18,0,1,3,D,,A,45,D
20232,05284092,2,19,0,1,3,D,,A,30,D
20232,05284462,1,26,0,1,7,D,,A,12,D
20232,05284502,1,12,0,1,3,D,,A,300,D
20232,05285012,1,51,0,1,3,D,,A,30,D
20232,05285622,1,47,0,1,3,D,,A,300,D
20232,05285942,1,42,0,1,3,D,,A,45,D
20232,05286421,1,29,0,1,4,D,,A,11,D
20232,05286421,2,30,0,1,4,D,,A,11,D
20232,05286671,1,20,0,1,1,D,4,D,104,D
20232,05287141,1,22,0,1,3,D,,A,60,D
20232,05287771,1,21,0,1,3,D,,A,30,D
20232,05288331,1,10,0,1,3,D,,A,285,D
20232,05288331,2,11,0,1,3,D,,A,285,D
20232,05288471,2,13,0,1,3,D,,A,150,D
20232,05288941,1,23,0,1,2,D,,A,429,D
20232,05289151,1,30,0,1,3,D,,A,60,D
20232,05289261,1,5,0,1,3,D,,A,240,D
20232,05289561,2,18,0,1,3,D,,A,300,D
20232,05289681,1,18,0,1,7,D,,A,3,D
20232,05290311,1,9,0,1,7,D,,A,8,D
20232,05290541,1,8,0,1,3,D,,A,72,D
20232,05290571,2,8,0,1,3,D,,A,30,D
20232,05290591,1,6,0,1,2,D,,A,429,D
20232,05290621,1,9,0,1,3,D,,A,255,D
20232,05290621,3,10,0,1,3,D,,A,105,D
20232,05290621,4,11,0,1,3,D,,A,105,D
20232,05291091,1,44,0,1,2,D,,A,351,D
20232,05291091,3,45,0,1,2,D,,A,351,D
20232,05291091,4,46,0,1,2,D,,A,351,D
20232,05291091,5,47,0,1,2,D,,A,351,D
20232,05291151,1,24,0,1,7,D,,A,277,D
20232,05291231,1,50,0,1,3,D,,A,150,D
20232,05291581,1,17,0,1,3,D,,A,600,D
20232,05292231,1,15,0,1,3,D,,A,540,D
20232,05292231,2,16,0,1,3,D,,A,480,D
20232,05292641,1,16,0,1,7,D,,A,60,D
20232,05292741,1,13,0,1,2,D,,A,260,D
20232,05293741,1,17,0,1,3,D,,A,30,D
20232,05294081,1,22,0,1,4,D,,A,20,D
20232,05294081,2,23,0,1,4,D,,A,20,D
20232,05294371,1,41,0,1,7,D,,A,430,D
20232,05294371,2,42,0,1,7,D,,A,430,D
20232,05294511,1,5,0,1,3,D,,A,420,D
20232,05294551,1,12,0,1,3,D,,A,45,D
20232,05294751,2,24,0,1,3,D,,A,240,D
20232,05294791,1,13,0,1,3,D,,A,60,D
20232,05294791,2,14,0,1,3,D,,A,270,D
20232,05294791,3,15,0,1,3,D,,A,270,D
20232,05294791,4,16,0,1,3,D,,A,90,D
20232,05294811,3,41,0,1,2,D,,A,39,D
20232,05296401,1,28,0,1,3,D,,A,108,D
20232,05296401,2,29,0,1,3,D,,A,108,D
20232,05296641,1,16,0,1,3,D,,A,30,D
20232,05296641,2,17,0,1,1,D,5,D,390,D
20232,05296681,1,7,0,1,3,D,,A,9,D
20232,05296771,1,25,0,1,3,D,,A,60,D
20232,05296771,3,26,0,1,3,D,,A,60,D
20232,05296881,1,8,0,1,2,D,,A,65,D
20232,05296941,1,41,0,1,3,D,,A,18,D
20232,05344961,2,17,0,1,3,D,,A,60,D
20232,05345201,1,5,0,1,2,D,,A,364,D
20232,05345481,2,24,0,1,2,D,,A,962,D
20232,05345521,1,17,0,1,2,D,,A,78,D
20232,05345961,1,19,0,1,3,D,,A,120,D
20232,05346261,2,7,0,1,,A,,A,202,F
20232,05346491,1,28,0,1,2,D,,A,351,D
20232,05346491,2,29,0,1,2,D,,A,351,D
20232,05346491,3,30,0,1,2,D,,A,351,D
20232,05346491,4,31,0,1,2,D,,A,351,D
20232,05346841,1,30,0,1,7,D,,A,30,D
20232,05346841,2,31,0,1,7,D,,A,30,D
20232,05346941,1,36,0,1,7,D,,A,15,D
20232,05347271,1,22,0,1,3,D,,A,3,D
20232,05347391,1,11,0,1,3,D,,A,180,D
20232,05347961,1,19,0,1,3,D,,A,354,D
20232,05347961,2,20,0,1,3,D,,A,354,D
20232,05348121,1,8,0,1,2,D,,A,494,D
20232,05348421,2,15,0,1,3,D,,A,225,D
20232,05349751,1,22,0,1,3,D,,A,300,D
20232,05349811,2,7,0,1,3,D,,A,36,D
20232,05349831,1,21,0,1,4,D,,A,150,D
20232,05349881,2,17,0,1,4,D,,A,20,D
20232,05350141,1,31,0,1,2,D,,A,325,D
20232,05350151,1,6,0,1,3,D,,A,33,D
20232,05350151,2,7,0,1,,A,,A,160,F
20232,05350731,1,21,0,1,3,D,,A,45,D
20232,05350751,1,25,0,1,3,D,,A,300,D
20232,05350751,2,26,0,1,3,D,,A,600,D
20232,05350841,1,26,0,1,3,D,,A,60,D
20232,05351301,1,14,0,1,1,D,5,D,1040,D
20232,05351471,1,18,0,1,3,D,,A,90,D
20232,05351471,4,19,0,1,3,D,,A,300,D
20232,05351681,1,19,0,1,3,D,,A,60,D
20232,05351681,2,20,0,1,3,D,,A,45,D
20232,05351914,1,33,0,1,5,D,,A,13,D
20232,05352901,1,8,0,1,7,D,,A,50,D
20232,05353331,3,31,0,1,3,D,,A,90,D
20232,05353621,1,7,0,1,7,D,,A,10,D
20232,05354084,1,8,0,1,7,D,,A,25,D
20232,05354151,1,8,0,1,3,D,,A,210,D
20232,05354671,1,22,0,1,3,D,,A,30,D
20232,05354981,1,28,0,1,3,D,,A,60,D
20232,05355191,1,13,0,1,2,D,,A,351,D
20232,05355191,2,14,0,1,2,D,,A,351,D
20232,05355371,1,8,0,1,2,D,,A,156,D
20232,05355631,1,30,0,1,7,D,,A,8,D
20232,05355631,2,31,0,1,7,D,,A,8,D
20232,05355694,1,19,0,1,4,D,,A,90,D
20232,05356031,1,16,0,1,4,D,,A,50,D
20232,05356251,1,18,0,1,2,D,,A,390,D
20232,05356251,2,19,0,1,3,D,,A,900,D
20232,05356251,3,20,0,1,2,D,,A,650,D
20232,05356291,1,19,0,1,7,D,,A,25,D
20232,05356291,2,20,0,1,7,D,,A,25,D
20232,05356361,1,9,0,1,3,D,,A,15,D
20232,05356411,1,19,0,1,7,D,,A,5,D
20232,05356551,1,24,0,1,7,D,,A,40,D
20232,05356591,1,7,0,1,4,D,,A,16,D
20232,05357481,1,37,0,1,7,D,,A,5,D
20232,05358001,1,18,0,1,7,D,,A,20,D
20232,05358441,1,54,0,1,7,D,,A,20,D
20232,05358951,31,17,0,1,4,D,,A,50,D
20232,05359081,1,18,0,1,4,D,,A,150,D
20232,05359201,1,13,0,1,3,D,,A,36,D
20232,05359201,2,14,0,1,3,D,,A,36,D
20232,05359201,3,15,0,1,3,D,,A,36,D
20232,05359201,4,16,0,1,3,D,,A,36,D
20232,05359541,1,25,0,1,7,D,,A,6,D
20232,05359562,1,5,0,1,,A,,A,160,F
20232,05359911,1,19,0,1,3,D,,A,195,D
20232,05360061,1,11,0,1,7,D,,A,20,D
20232,05360823,1,29,0,1,7,D,,A,11,D
20232,05360831,1,23,0,1,7,D,,A,20,D
20232,05361051,2,13,0,1,,A,,A,191,F
20232,05361491,3,21,0,1,3,D,,A,9,D
20232,05361941,1,12,0,1,2,D,,A,416,D
20232,05363181,1,26,0,1,4,D,,A,249,D
20232,05363701,1,21,0,1,3,D,,A,183,D
20232,05363851,2,8,0,1,2,D,,A,520,D
20232,05364181,2,15,0,1,3,D,,A,60,D
20232,05364281,1,9,0,1,2,D,,A,260,D
20232,05364351,1,10,0,1,7,D,,A,6,D
20232,05364531,1,30,0,1,7,D,,A,6,D
20232,05364571,1,5,0,1,,A,,A,317,F
20232,05364651,1,25,0,1,4,D,,A,8,D
20232,05364651,2,26,0,1,4,D,,A,8,D
20232,05365161,1,14,0,1,2,D,,A,65,D
20232,05365201,1,14,0,1,4,D,,A,50,D
20232,05365321,5,20,0,1,3,D,,A,30,D
20232,05365381,1,8,0,1,3,D,,A,150,D
20232,05365451,1,20,0,1,4,D,,A,15,D
20232,05365451,2,21,0,1,4,D,,A,15,D
20232,05365631,3,34,0,1,3,D,,A,120,D
20232,05365791,1,20,0,1,7,D,,A,35,D
20232,05365791,2,21,0,1,,A,,A,186,F
20232,05365931,1,19,0,1,7,D,,A,20,D
20232,05366071,1,26,0,1,2,D,,A,364,D
20232,05366334,1,18,0,1,3,D,,A,30,D
20233,05201914,1,5,0,1,3,D,,A,135,D
20233,05201954,1,8,0,1,3,D,,A,45,D
20233,05201954,2,9,0,1,3,D,,A,60,D
20233,05203314,1,26,0,1,3,D,,A,135,D
20233,05203664,1,35,0,1,7,D,,A,20,D
20233,05203664,2,36,0,1,7,D,,A,20,D
20233,05203664,3,37,0,1,7,D,,A,20,D
20233,05204614,1,38,0,1,7,D,,A,20,D
20233,05204614,2,39,0,1,7,D,,A,20,D
20233,05205004,1,27,0,1,7,D,,A,10,D
20233,05205184,1,32,0,1,3,D,,A,96,D
20233,05206424,1,7,0,1,3,D,,A,18,D
20233,05206664,2,19,0,1,4,D,,A,200,D
20233,05206694,1,5,0,1,3,D,,A,300,D
20233,05206884,1,14,0,1,3,D,,A,60,D
20233,05206884,2,15,0,1,3,D,,A,300,D
20233,05206894,1,11,0,1,3,D,,A,90,D
20233,05206904,1,16,0,1,2,D,,A,182,D
20233,05207134,1,24,0,1,7,D,,A,21,D
20233,05208174,3,58,0,1,3,D,,A,48,D
20233,05208254,2,10,0,1,2,D,,A,130,D
20233,05208694,1,15,0,1,2,D,,A,260,D
20233,05208724,1,22,0,1,7,D,,A,20,D
20233,05210264,1,16,0,1,2,D,,A,780,D
20233,05210744,1,50,0,1,7,D,,A,14,D
