QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20232,05092784,18,0,5,01,D,100,D,,A,3,D,,B,1981,D,,A,,A,,A,2600,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05092784,19,0,5,02,D,300,D,,A,1,D,,B,1985,D,,A,,A,,A,370,F,1,D,1,D,2,D,,A,,A,,A,,A,,A,1,D
20232,05092804,14,0,5,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,18329,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05092904,6,0,5,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,840,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05092964,65,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,8000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05093004,22,0,5,01,D,100,D,,A,3,D,,B,2001,D,,A,,A,,A,1100,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05093114,16,0,1,01,D,200,D,,A,3,D,,B,2015,D,,A,,A,,A,2800,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20232,05093204,45,0,5,01,D,100,D,0.33,D,3,D,,B,2017,D,,A,,A,,A,1000,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20232,05093224,16,0,5,01,D,100,D,,A,3,D,07,D,2022,D,159900,D,300,D,10000,D,1000,D,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
20232,05093284,17,0,5,01,D,100,D,,A,3,D,,B,2010,D,,A,,A,,A,7500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
