QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20233,05269693,23,0,5,01,D,100,D,.1000,F,25000,F,10,F,330,F,,C,,C,,C,,C,0,D,142,F,144,F,145,F,188,F,186,F,185,F,,A,10,F,2021,F,2,F,,A,22506,F,22364,F,22220,F,01,D,,C,,C,,C,260,F,260,F,260,F,,C,,A
20233,05276963,35,0,5,01,D,100,D,.0750,F,25000,F,20,F,201,F,,A,,A,,A,,A,0,D,51,F,51,F,52,F,111,F,111,F,110,F,,A,11,F,2018,F,2,F,,A,22048,F,21984,F,21920,F,01,D,,A,,A,,A,165,F,164,F,162,F,1,D,2,D
20233,05276973,25,0,5,01,D,100,D,.0386,D,212362,T,10,D,2000,D,,A,,A,,A,,A,0,D,1563,T,1507,T,1512,T,473,D,468,D,463,D,,A,06,D,2020,D,1,D,,A,147010,D,145483,D,143951,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05277223,28,0,5,01,D,100,D,.0609,F,50000,F,10,F,1000,F,,B,,B,,B,,B,443,D,327,F,329,F,331,F,230,F,228,F,226,F,,A,03,F,2022,F,1,F,,A,45286,F,44959,F,44630,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05277233,37,0,5,01,D,100,D,.0975,F,47198,F,15,F,500,F,,A,,A,,A,,A,0,D,0,F,0,F,0,F,500,F,500,F,500,F,,A,06,F,2023,F,1,F,,A,47198,F,47198,F,47198,F,01,D,1,D,,A,,A,,A,,A,,A,,A,2,D
20233,05278753,14,0,5,01,D,100,D,.0900,D,55572,D,20,D,500,D,,A,,A,,A,,A,0,D,379,D,382,D,385,D,121,D,118,D,115,D,,A,07,D,2006,D,1,D,,A,16100,D,15721,D,15339,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05280663,34,0,5,01,D,100,D,.0386,D,10000,D,5,D,184,D,,A,,A,,A,,A,0,D,170,D,171,D,172,D,14,D,13,D,12,D,,A,06,D,2020,D,1,D,,A,4215,D,4044,D,3873,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05281843,12,0,1,01,D,100,D,.0450,D,68000,D,13,D,577,D,,A,,A,,A,,A,0,D,347,D,348,D,350,D,230,D,229,D,227,D,,A,10,D,2021,D,1,D,,A,61325,D,60978,D,60630,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05283973,22,0,5,01,D,100,D,.0800,D,114000,D,29,D,844,D,,A,,A,,A,,A,,B,,A,,A,,A,,A,,A,,A,,A,09,F,2023,D,1,D,,A,,A,,A,,A,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05289442,22,0,5,01,D,100,D,.0662,D,80000,D,20,D,677,D,,B,,B,,B,,B,75,D,507,D,510,D,513,D,95,D,92,D,89,D,,A,11,D,2005,D,1,D,,A,17162,D,16655,D,16145,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05290232,32,0,5,01,D,100,D,.0371,D,40000,D,20,D,451,D,3,D,4,D,,A,,A,215,D,118,D,119,D,119,D,118,D,117,D,117,D,,A,11,D,2021,D,1,D,,A,38042,D,37924,D,37805,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05291542,24,0,5,01,D,100,D,.0609,D,40000,D,19,D,300,D,,B,,B,,B,,B,4,D,96,D,96,D,97,D,150,D,150,D,149,D,,A,10,D,2022,D,1,D,,A,39435,D,39339,D,39243,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05293522,14,0,1,01,D,100,D,.0475,D,99881,D,7,D,1400,D,,A,,A,,A,,A,0,D,1346,D,1351,D,1356,D,54,D,49,D,44,D,,A,02,D,2017,D,1,D,,A,13701,D,12355,D,11004,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05294372,40,0,5,01,D,100,D,.0550,D,91222,D,10,D,990,D,,A,,A,,A,,A,0,D,593,D,596,D,599,D,318,D,315,D,313,D,,A,08,D,2022,D,1,D,,A,86573,D,85980,D,85384,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05345332,15,0,5,01,D,100,D,.0800,D,50000,D,15,D,478,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,336,D,336,D,336,D,,A,01,D,2015,D,2,D,,A,50000,D,50000,D,50000,D,01,D,,A,2,D,,A,326,D,347,D,336,D,,A,2,D
20233,05347922,32,0,5,01,D,100,D,.0450,D,85000,D,15,D,700,D,,B,,B,,B,,B,50,D,435,D,437,D,439,D,161,D,160,D,158,D,,A,04,D,2017,D,1,D,,A,57245,D,56809,D,56372,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05348722,20,0,5,01,D,100,D,.0529,D,75000,D,10,D,806,D,,A,,A,,A,,A,0,D,614,D,616,D,619,D,192,D,190,D,187,D,,A,07,D,2018,D,1,D,,A,43661,D,43047,D,42431,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05349782,31,0,5,01,D,100,D,.0420,D,36412,D,15,D,273,D,,A,,A,,A,,A,0,D,164,D,165,D,166,D,109,D,108,D,107,D,,A,06,D,2020,D,1,D,,A,31002,D,30838,D,30673,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05353462,27,0,5,01,D,100,D,.0750,D,25000,D,20,D,201,D,,A,,A,,A,,A,0,D,51,D,51,D,51,D,111,D,111,D,111,D,,A,11,D,2018,D,2,D,,A,22111,D,22048,D,21984,D,01,D,1,D,,A,,A,165,D,164,D,162,D,1,D,2,D
20233,05356252,17,0,5,01,D,100,D,.1000,F,25000,F,10,F,330,F,,C,,C,,C,,C,0,D,144,F,145,F,146,F,186,F,185,F,184,F,,A,10,F,2021,F,2,F,,A,22364,F,22220,F,22076,F,01,D,,C,,C,,C,260,F,260,F,260,F,,C,,A
20233,05357102,22,0,5,01,D,100,D,.0386,D,145000,D,15,D,1542,D,3,D,4,D,,A,,A,480,D,656,D,658,D,660,D,406,D,404,D,402,D,,A,12,D,2020,D,1,D,,A,126274,D,125618,D,124960,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05359032,16,0,5,01,D,100,D,.0550,D,52000,D,15,D,450,D,,B,,B,,B,,B,25,D,221,D,,A,,A,204,D,,A,,A,072023,D,05,D,2020,D,1,D,,A,44492,D,,A,,A,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05361992,9,0,1,01,D,100,D,.0400,D,34000,D,14,D,530,D,3,D,4,D,,A,,A,265,D,172,D,173,D,173,D,93,D,92,D,92,D,,A,04,D,2020,D,1,D,,A,27867,D,27695,D,27522,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05363742,25,0,5,01,D,100,D,.0500,D,5000,D,5,D,180,D,,B,,B,,B,,B,86,D,92,D,92,D,92,D,2,D,2,D,2,D,,A,12,D,2018,D,1,D,,A,579,D,488,D,396,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05366782,17,0,5,01,D,100,D,.0386,D,145000,F,15,F,1542,F,3,F,4,F,,A,,A,480,D,656,F,658,F,660,F,406,F,404,F,402,F,,A,12,F,2020,F,1,F,,A,126274,F,125618,F,124960,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05413451,33,0,1,01,D,100,D,.0500,D,50000,D,10,D,530,D,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,04,D,2023,D,2,D,,A,50000,D,49678,D,49355,D,01,D,1,D,,A,,A,200,D,200,D,200,D,1,D,2,D
20233,05417621,27,0,1,01,D,100,D,.0615,D,73358,D,15,D,625,D,,A,,A,,A,,A,0,D,250,D,252,D,253,D,375,D,373,D,372,D,,A,03,D,2023,D,1,D,,A,73109,D,72859,D,72607,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05419871,20,0,1,01,D,100,D,.0386,D,19879,D,20,D,119,D,,A,,A,,A,,A,0,D,60,D,61,D,61,D,59,D,58,D,58,D,,A,11,D,2020,D,1,D,,A,18208,D,18148,D,18087,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05420151,19,0,1,01,D,100,D,.1000,F,25000,F,10,F,330,F,,C,,C,,C,,C,0,D,141,F,142,F,144,F,189,F,188,F,186,F,,A,10,F,2021,F,2,F,,A,22648,F,22506,F,22364,F,01,D,,A,,A,3,D,260,F,260,F,260,F,,C,,A
20233,05425811,16,0,1,01,D,100,D,.0750,F,25000,F,20,F,201,F,,A,,A,,A,,A,0,D,51,F,51,F,51,F,111,F,111,F,111,F,,A,11,F,2018,F,2,F,,A,22111,F,22048,F,21984,F,01,D,,A,,A,,A,165,F,164,F,162,F,1,D,2,D
20233,05427801,28,0,1,01,D,100,D,.0500,F,11878,F,16,F,90,F,,A,,A,,A,,A,0,D,50,F,50,F,50,F,34,F,34,F,34,F,,A,04,F,2019,F,1,F,,A,9681,F,9631,F,9581,F,01,D,1,D,,A,,A,,A,,A,,A,1,D,2,D
20233,05428651,18,0,1,01,D,100,D,.0371,D,212362,T,17,D,1628,D,,B,,B,,B,,B,7,D,916,D,919,D,921,D,705,D,702,D,700,D,,A,10,D,2021,D,1,D,,A,208744,T,207935,T,207123,T,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05428851,29,0,1,01,D,100,D,.0750,D,45000,D,5,D,902,D,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,04,D,2020,D,2,D,,A,19262,D,18480,D,17694,D,01,D,1,D,,A,,A,,C,,C,,C,1,D,2,D
20233,05430121,28,0,1,01,D,100,D,.0975,D,47198,D,15,D,500,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,500,D,500,D,500,D,,A,06,D,2023,D,1,D,,A,47198,D,47198,D,47198,D,01,D,,A,,A,,A,,A,,A,,A,,A,2,D
20233,05436901,31,0,1,01,D,100,D,.0386,D,150000,D,10,D,1509,D,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,12,D,2020,D,2,D,,A,117734,D,116603,D,115470,D,01,D,1,D,,A,,A,0,D,0,D,0,D,1,D,2,D
20233,05437261,18,0,1,01,D,100,D,.0799,D,99902,D,20,D,835,D,,A,,A,,A,,A,0,D,173,D,174,D,176,D,662,D,661,D,659,D,,A,03,D,2023,D,1,D,,A,99389,D,99216,D,99042,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05442651,19,0,1,01,D,100,D,.0472,D,90817,D,15,D,705,D,,A,,A,,A,,A,0,D,418,D,420,D,422,D,287,D,285,D,283,D,,A,07,D,2019,D,1,D,,A,72901,D,72483,D,72063,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05442981,23,0,1,01,D,100,D,.0440,F,40000,F,15,F,1000,F,3,F,4,F,5,F,,A,696,D,210,F,211,F,212,F,94,F,93,F,92,F,,A,11,F,2016,F,1,F,,A,25614,F,25404,F,25193,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05444951,27,0,1,01,D,100,D,.0400,D,60000,D,15,D,450,D,,B,,B,,B,,B,6,D,255,D,256,D,256,D,189,D,188,D,188,D,,A,05,D,2022,D,1,D,,A,56764,D,56509,D,56253,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05445981,20,0,1,01,D,100,D,.0475,D,14000,D,15,D,158,D,,B,,B,,B,,B,49,D,72,D,72,D,72,D,37,D,37,D,37,D,,A,04,D,2017,D,1,D,,A,9403,D,9332,D,9260,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20233,05446011,15,0,1,01,D,100,D,.0662,F,80000,F,20,F,677,F,,B,,B,,B,,B,75,D,513,F,516,F,519,F,89,F,86,F,83,F,,A,11,F,2005,F,1,F,,A,16145,F,15632,F,15116,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20234,05254114,23,0,5,01,D,100,D,.0440,F,7000,F,15,F,200,F,,B,,B,,B,,B,147,F,38,F,38,F,38,F,15,F,15,F,15,F,,A,04,F,2016,F,1,F,,A,4205,F,4167,F,4130,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20234,05255564,27,0,5,01,D,100,D,.0400,D,30000,D,15,D,250,D,,B,,B,,B,,B,28,D,126,D,126,D,127,D,96,D,96,D,95,D,,A,10,D,2022,D,1,D,,A,28887,D,28762,D,28635,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20234,05259194,31,0,5,01,D,100,D,.0400,D,98300,D,15,D,885,D,,B,,B,,B,,B,158,D,410,D,411,D,413,D,317,D,316,D,314,D,,A,11,D,2022,D,1,D,,A,95068,D,94658,D,94246,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20234,05264654,21,0,5,01,D,100,D,.0900,D,50000,D,15,D,507,D,,A,,A,5,D,,A,0,D,133,D,134,D,135,D,359,D,356,D,355,D,,A,03,D,2023,D,2,D,,A,49329,D,49192,D,49054,D,01,D,1,D,,A,,A,494,D,491,D,490,D,1,D,2,D
20234,05265324,22,0,5,01,D,100,D,.0450,D,80000,D,16,D,590,D,,B,,B,,B,,B,5,D,399,D,401,D,402,D,186,D,184,D,183,D,,A,02,D,2016,D,1,D,,A,49558,D,49159,D,48758,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20234,05266354,35,0,5,01,D,100,D,.0529,D,130000,D,15,D,1157,D,,B,,B,,B,,B,109,D,632,D,635,D,638,D,208,D,207,D,205,D,,A,03,D,2018,D,1,D,,A,94344,D,93711,D,93077,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20234,05276964,28,0,5,01,D,100,D,.0750,F,25000,F,20,F,201,F,,A,,A,,A,,A,0,F,51,F,51,F,52,F,109,F,109,F,108,F,,A,11,F,2018,F,2,F,,A,21920,F,21856,F,21791,F,01,D,,A,,A,,A,160,F,160,F,160,F,1,D,2,D
20234,05277234,37,0,5,01,D,100,D,.0800,F,50000,F,15,F,478,F,,A,,A,,A,,A,0,F,0,F,0,F,0,F,368,F,368,F,368,F,,A,01,F,2015,F,2,F,,A,50000,F,50000,F,50000,F,01,D,1,D,,A,,A,358,F,356,F,368,F,,A,2,D
20234,05278314,15,0,5,01,D,100,D,.0662,F,248595,V,20,F,1600,F,,A,,A,,A,,A,0,F,1387,F,1394,F,1402,F,213,F,206,F,198,F,,A,10,F,2005,F,1,F,,A,38656,F,37269,F,35874,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20234,05280664,43,0,5,01,D,100,D,.0386,D,10000,D,5,D,184,D,,A,4,D,,A,,A,0,D,172,D,173,D,173,D,12,D,11,D,11,D,,A,06,D,2020,D,1,D,,A,3702,D,3530,D,3357,D,01,D,,A,,A,,A,,A,,A,,A,,A,,A
20234,05289443,21,0,5,01,D,100,D,.0662,D,80000,D,20,D,677,D,,B,,B,,B,,B,75,D,516,D,519,D,521,D,86,D,83,D,81,D,,A,11,D,2005,D,1,D,,A,15632,D,15116,D,14597,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20234,05290233,25,0,5,01,D,100,D,.0371,D,40000,D,20,D,451,D,3,D,4,D,,A,,A,215,D,119,D,120,D,120,D,117,D,116,D,116,D,,A,11,D,2021,D,1,D,,A,37686,D,37567,D,37447,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20234,05293523,16,0,5,01,D,100,D,.0475,D,99881,D,7,D,1400,D,,A,,A,,A,,A,0,D,1362,D,1367,D,1373,D,38,D,33,D,27,D,,A,02,D,2017,D,1,D,,A,9647,D,8285,D,6918,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20234,05345333,13,0,5,01,D,100,D,.0800,D,50000,D,15,D,478,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,368,D,368,D,368,D,,A,01,D,2015,D,2,D,,A,50000,D,50000,D,50000,D,01,D,,A,2,D,,A,358,D,356,D,368,D,,A,2,D
20234,05347923,26,0,5,01,D,100,D,.0450,D,85000,D,15,D,700,D,,B,,B,,B,,B,50,D,440,D,442,D,444,D,158,D,156,D,155,D,,A,04,D,2017,D,1,D,,A,55934,D,55493,D,55051,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20234,05348723,26,0,5,01,D,100,D,.0529,D,75000,D,10,D,806,D,,A,,A,,A,,A,0,D,622,D,624,D,627,D,184,D,182,D,179,D,,A,07,D,2018,D,1,D,,A,41812,D,41191,D,40566,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
