QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20232,05093204,27,0,1,410,D,1,D,03,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20232,05093204,28,0,1,410,D,1,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20232,05093204,29,0,1,410,D,1,D,03,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20232,05093204,30,0,1,420,D,1,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093204,31,0,1,620,D,1,D,01,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093204,32,0,1,620,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093204,33,0,1,620,D,1,D,03,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093204,34,0,1,510,D,1,D,03,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093204,35,0,2,120,D,1,D,01,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093204,36,0,2,420,D,1,D,01,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093224,13,0,2,120,D,1,D,01,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093284,11,0,1,620,D,1,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093354,9,0,1,620,D,1,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093364,20,0,2,330,D,1,D,01,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093414,17,0,1,420,D,1,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093414,18,0,1,620,D,1,D,13,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093414,19,0,2,200,D,1,D,01,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093494,9,0,1,620,D,1,D,02,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093494,10,0,1,620,D,1,D,02,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093534,14,0,1,420,D,1,D,02,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093534,15,0,1,420,D,1,D,03,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093534,16,0,1,510,D,1,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093534,17,0,1,620,D,1,D,13,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093674,16,0,1,120,D,1,D,01,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093674,17,0,1,420,D,1,D,03,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093674,18,0,1,620,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093694,10,0,1,330,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093694,11,0,1,510,D,1,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093694,12,0,2,900,D,1,D,01,D,,H,900,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093694,12,1,2,110,D,1,D,01,D,9,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093694,12,2,2,200,D,1,D,01,D,27,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093694,12,3,2,620,D,1,D,01,D,4,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093694,13,0,2,900,D,1,D,01,D,,H,900,D,410,D,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20232,05093694,13,1,2,410,D,1,D,01,D,8,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20232,05093694,13,2,2,510,D,1,D,01,D,5,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20232,05093694,13,3,2,620,D,1,D,01,D,2,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20232,05093694,14,0,2,900,D,1,D,01,D,,H,900,D,510,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093694,14,1,2,420,D,1,D,01,D,18,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093694,14,2,2,510,D,1,D,01,D,22,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093694,15,0,2,900,D,1,D,01,D,,H,900,D,635,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093694,15,1,2,620,D,1,D,01,D,8,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093694,15,2,2,635,D,1,D,01,D,12,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20232,05093694,15,3,2,655,D,1,D,01,D,10,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20232,05093714,10,0,1,620,D,1,D,13,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093794,13,0,1,120,D,1,D,02,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093804,13,0,1,200,D,1,D,02,D,52,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093804,14,0,1,420,D,1,D,01,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093804,15,0,1,620,D,1,D,01,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093804,16,0,2,510,D,1,D,01,D,263,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093834,19,0,1,510,D,1,D,03,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093884,30,0,1,110,D,1,D,03,D,49,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
