QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20234,05264844,36,0,5,01,D,100,D,.0500,F,390000,F,30,F,2200,F,3,F,4,F,,A,,A,106,F,3097,V,3104,V,3052,V,441,F,434,F,427,F,,A,06,F,1998,F,1,F,,A,105787,F,104134,F,102474,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05264854,65,0,5,01,D,100,D,.0296,D,357611,D,30,D,1500,D,,A,,A,,A,,A,0,D,649,D,651,D,652,D,851,D,849,D,848,D,,A,12,D,2021,D,1,D,,A,344959,D,344310,D,343659,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05264994,22,0,5,01,D,100,D,.0400,D,265000,D,30,D,1580,D,3,D,4,D,,A,,A,315,D,404,D,405,D,407,D,861,D,860,D,858,D,,A,03,D,2022,D,1,D,,A,258336,D,257932,D,257527,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05265084,17,0,5,01,D,100,D,.0641,F,143733,F,30,F,1200,F,3,F,4,F,,A,,A,300,F,407,F,409,F,411,F,493,F,491,F,489,F,,A,02,F,2006,F,1,F,,A,92309,F,91902,F,91493,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05265264,17,0,5,01,D,100,D,.0311,D,384742,D,30,D,2225,D,3,D,4,D,,A,,A,580,D,706,D,707,D,709,D,939,D,938,D,936,D,,A,11,D,2020,D,1,D,,A,362451,D,361746,D,361038,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05265364,22,0,5,01,D,100,D,.0534,D,310331,D,30,D,2425,D,3,D,4,D,5,D,,A,694,D,381,D,383,D,384,D,1350,D,1348,D,1347,D,,A,01,D,2022,D,1,D,,A,303407,D,303026,D,302644,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05265464,21,0,5,01,D,100,D,.0397,D,135000,D,30,D,1120,D,3,D,4,D,,A,,A,478,D,229,D,230,D,230,D,413,D,412,D,412,D,,A,08,D,2019,D,1,D,,A,124854,D,124626,D,124396,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05265574,16,0,5,01,D,100,D,.0311,F,350000,F,30,F,2396,F,3,F,4,F,,A,,A,900,F,641,F,643,F,645,F,855,F,853,F,851,F,,A,12,F,2020,F,1,F,,A,329738,F,329096,F,328453,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05265844,24,0,5,01,D,100,D,.0296,D,214567,D,30,D,1500,D,3,D,4,D,,A,,A,600,D,395,D,396,D,397,D,505,D,504,D,503,D,,A,06,D,2021,D,1,D,,A,204625,D,204229,D,203833,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05265864,18,0,5,01,D,100,D,.0311,D,380000,D,30,D,2300,D,3,D,4,D,,A,,A,675,D,699,D,701,D,703,D,926,D,924,D,922,D,,A,10,D,2020,D,1,D,,A,357277,D,356578,D,355877,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05265894,9,0,5,01,D,100,D,.0470,D,295000,D,30,D,2443,D,3,D,4,D,,A,,A,913,D,390,D,391,D,393,D,1140,D,1139,D,1137,D,,A,10,D,2022,D,1,D,,A,291187,D,290798,D,290407,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05265994,18,0,5,01,D,100,D,.0397,F,483511,F,30,F,2300,F,3,F,4,F,,A,,A,0,F,815,F,818,F,821,F,1485,F,1482,F,1479,F,,A,09,F,2019,F,1,F,,A,448774,F,447959,F,447141,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05266004,23,0,5,01,D,100,D,.0400,D,138000,D,30,D,950,D,3,D,4,D,,A,,A,291,D,317,D,318,D,319,D,342,D,341,D,340,D,,A,12,D,2011,D,1,D,,A,102572,D,102255,D,101937,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05266014,22,0,5,01,D,100,D,.0397,D,175000,D,30,D,842,D,,B,,B,,B,,B,10,D,296,D,297,D,297,D,536,D,535,D,535,D,,A,09,D,2019,D,1,D,,A,162155,D,161860,D,161563,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05266134,20,0,5,01,D,100,D,.0400,D,154000,D,30,D,1254,D,3,D,,A,,A,,A,519,D,285,D,285,D,286,D,450,D,450,D,449,D,,A,05,D,2017,D,1,D,,A,135148,D,134863,D,134578,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05266474,22,0,5,01,D,100,D,.0584,D,180000,D,20,D,1315,D,3,D,4,D,,A,,A,42,D,1189,D,1195,D,1201,D,84,D,78,D,72,D,,A,10,D,2004,D,1,D,,A,17195,D,16006,D,14811,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05266504,21,0,5,01,D,100,D,.0800,D,50000,D,20,D,463,D,,B,,B,,B,,B,45,D,85,D,85,D,86,D,333,D,333,D,332,D,,A,08,D,2023,D,1,D,,A,50000,D,49915,D,49830,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05266504,22,0,5,01,D,100,D,.0400,D,109000,D,30,D,724,D,3,D,4,D,,A,,A,204,D,246,D,246,D,247,D,274,D,274,D,273,D,,A,05,D,2012,D,1,D,,A,82344,D,82099,D,81853,D,02,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05266564,29,0,5,01,D,100,D,.0806,D,62000,D,30,D,886,D,3,D,4,D,,A,,A,428,D,275,D,276,D,278,D,183,D,182,D,180,D,,A,02,D,2000,D,1,D,,A,27315,D,27041,D,26765,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05266614,20,0,5,01,D,100,D,.0525,D,500000,D,30,D,3800,D,,A,4,D,5,D,,A,1039,D,607,D,610,D,612,D,2154,D,2151,D,2149,D,,A,07,D,2022,D,1,D,,A,492346,D,491739,D,491129,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05266754,10,0,5,01,D,100,D,.0534,D,320000,D,30,D,2150,D,3,D,4,D,,A,,A,365,D,386,D,388,D,389,D,1399,D,1397,D,1396,D,,A,05,D,2022,D,1,D,,A,314413,D,314027,D,313640,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05266954,25,0,5,01,D,100,D,.0600,D,270000,D,30,D,4125,D,3,D,4,D,5,D,,A,2506,D,287,D,288,D,290,D,1332,D,1331,D,1329,D,,A,07,D,2022,D,1,D,,A,266396,D,266109,D,265821,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05267164,23,0,5,01,D,100,D,.0311,D,187108,D,30,D,3300,D,3,D,4,D,,A,,A,2500,D,343,D,344,D,345,D,457,D,456,D,455,D,,A,11,D,2020,D,1,D,,A,176267,D,175924,D,175580,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05267294,27,0,5,01,D,100,D,.0534,F,522000,F,15,F,6329,V,3,F,4,F,,A,,A,1392,F,992,F,997,F,1001,F,1036,F,1031,F,1027,F,,A,01,F,2022,F,2,F,,A,484455,F,482390,F,480315,F,01,D,,A,,A,,A,3006,F,3006,F,3006,F,1,D,2,D,2,D
20234,05267434,11,0,5,01,D,100,D,.0654,D,48000,D,25,D,360,D,,B,,B,,B,,B,35,D,245,D,247,D,248,D,80,D,78,D,77,D,,A,11,D,2002,D,1,D,,A,14608,D,14363,D,14116,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05267524,37,0,5,01,D,100,D,.0365,D,206294,D,15,D,1490,D,,A,,A,,A,,A,0,D,1134,D,1137,D,1141,D,356,D,353,D,349,D,,A,02,D,2016,D,1,D,,A,117157,D,116023,D,114886,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05267544,41,0,5,01,D,100,D,.0311,D,108757,D,30,D,465,D,,A,,A,,A,,A,0,D,199,D,200,D,201,D,266,D,265,D,264,D,,A,11,D,2020,D,1,D,,A,102456,D,102257,D,102057,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05267564,41,0,5,01,D,100,D,.0365,D,150000,D,10,D,2234,D,3,D,4,D,,A,,A,740,D,1352,D,1356,D,1360,D,142,D,138,D,134,D,,A,05,D,2016,D,1,D,,A,46821,D,45470,D,44114,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05267724,14,0,5,01,D,100,D,.0700,D,50000,D,30,D,456,D,3,D,4,D,,A,,A,123,D,,A,,A,41,D,,A,,A,292,D,,A,10,D,2023,D,1,D,102023,D,,A,,A,50000,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05267724,31,0,1,01,D,100,D,.0500,D,50000,D,30,D,527,D,3,D,4,D,5,D,,A,259,D,226,D,227,D,,A,42,D,41,D,,A,102023,D,12,D,1996,D,1,D,,A,10145,D,9919,D,,A,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05267754,20,0,5,01,D,100,D,.0425,D,48786,D,30,D,802,D,3,D,,A,,A,,A,562,D,117,D,118,D,118,D,123,D,122,D,122,D,,A,07,D,2010,D,1,D,,A,34703,D,34586,D,34468,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05267854,29,0,5,01,D,100,D,.0385,D,170219,D,30,D,798,D,,A,,A,,A,,A,0,D,349,D,350,D,351,D,449,D,448,D,447,D,,A,02,D,2015,D,1,D,,A,139882,D,139532,D,139182,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05267864,28,0,5,01,D,100,D,.0438,D,368000,D,30,D,2223,D,3,D,4,D,,A,,A,385,D,650,D,653,D,655,D,1188,D,1185,D,1183,D,,A,05,D,2017,D,1,D,,A,325402,D,324752,D,324099,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05268034,35,0,5,01,D,100,D,.0296,D,190000,D,30,D,1404,D,3,D,4,D,,A,,A,607,D,349,D,350,D,351,D,448,D,447,D,446,D,,A,07,D,2021,D,1,D,,A,181544,D,181195,D,180845,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05268064,28,0,5,01,D,100,D,.0697,D,150000,D,30,D,1500,D,,B,,B,,B,,B,505,D,568,D,571,D,574,D,427,D,424,D,421,D,,A,09,D,2001,D,1,D,,A,73582,D,73014,D,72444,D,01,D,,A,,A,,A,,A,,A,,A,,C,,A,,C
20234,05268154,28,0,5,01,D,100,D,.0296,D,262248,D,30,D,1350,D,3,D,4,D,5,D,,A,250,D,487,D,488,D,489,D,613,D,612,D,611,D,,A,03,D,2021,D,1,D,,A,248643,D,248157,D,247669,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05268194,14,0,5,01,D,100,D,.0450,D,100000,D,30,D,800,D,3,D,4,D,,A,,A,293,D,150,D,151,D,152,D,357,D,356,D,355,D,,A,09,D,2020,D,1,D,,A,95073,D,94922,D,94771,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05268304,18,0,5,01,D,100,D,.0663,D,432000,D,30,D,3500,D,3,D,4,D,,A,,A,732,D,394,D,396,D,398,D,2374,D,2372,D,2370,D,,A,02,D,2023,D,1,D,,A,429681,D,429287,D,428891,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05268304,19,0,5,02,D,400,D,.0550,D,45000,D,20,D,550,D,3,D,,A,,A,,A,240,D,123,D,124,D,125,D,187,D,186,D,185,D,,A,06,D,2020,D,1,D,,A,40704,D,40581,D,40457,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05268434,23,0,5,01,D,100,D,.0296,D,389000,D,30,D,1641,D,,B,,B,,B,,B,9,D,713,D,715,D,717,D,919,D,917,D,915,D,,A,08,D,2021,D,1,D,,A,372395,D,371681,D,370966,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05268534,17,0,5,01,D,100,D,.0296,D,134000,D,30,D,795,D,3,D,4,D,,A,,A,233,D,243,D,244,D,244,D,319,D,318,D,318,D,,A,12,D,2021,D,1,D,,A,129261,D,129017,D,128774,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05268564,38,0,5,01,D,100,D,.0296,D,280000,D,30,D,1200,D,,B,,B,,B,,B,26,D,518,D,519,D,520,D,656,D,655,D,654,D,,A,04,D,2021,D,1,D,,A,266006,D,265488,D,264969,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05268594,19,0,5,01,D,100,D,.0550,D,200000,D,30,D,1457,D,3,D,,A,,A,,A,321,D,221,D,222,D,223,D,915,D,914,D,913,D,,A,06,D,2023,D,1,D,,A,199560,D,199339,D,199117,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05268604,30,0,5,01,D,100,D,.0750,F,189000,F,30,F,1573,F,3,F,4,F,,A,,A,251,F,192,F,193,F,195,F,1130,F,1129,F,1127,F,,A,06,F,2019,F,1,F,,A,180769,F,180577,F,180383,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05268744,15,0,5,01,D,100,D,.0534,D,78000,D,30,D,606,D,,B,,B,,B,,B,171,D,94,D,94,D,94,D,341,D,341,D,341,D,,A,06,D,2022,D,1,D,,A,76733,D,76640,D,76546,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05268754,28,0,5,01,D,100,D,.0296,D,480000,D,30,D,2750,D,3,D,4,D,,A,,A,737,D,884,D,886,D,888,D,1129,D,1127,D,1125,D,,A,06,D,2021,D,1,D,,A,457768,D,456884,D,455998,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05268874,16,0,5,01,D,100,D,.0750,D,74000,D,30,D,560,D,,A,4,D,,A,,A,43,D,203,D,204,D,205,D,314,D,313,D,312,D,,A,01,D,2006,D,1,D,,A,50252,D,50049,D,49845,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20234,05268944,16,0,5,01,D,100,D,.0454,F,250000,F,30,F,1400,F,3,F,4,F,5,F,,A,127,F,407,F,409,F,410,F,866,F,864,F,863,F,,A,09,F,2018,F,1,F,,A,228826,F,228419,F,228010,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20234,05269154,26,0,5,01,D,100,D,.0700,F,80000,F,30,F,650,F,3,F,4,F,,A,,A,118,F,275,F,276,F,278,F,257,F,256,F,254,F,,A,01,F,2003,F,1,F,,A,44086,F,43812,F,43535,F,01,D,,C,,C,,C,,A,,A,,A,1,D,2,D,,C
20234,05269324,25,0,5,01,D,100,D,.0586,D,99900,D,30,D,930,D,3,D,4,D,,A,,A,340,D,259,D,260,D,262,D,331,D,330,D,328,D,,A,09,D,2007,D,1,D,,A,67776,D,67517,D,67256,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
