QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,JGASOXQV,JGAS_XQV,JDIESXQV,JDIE_XQV,JELEXQV,JELEXQV_,JETHXQV,JETHXQV_,QADELEX,QADELEX_,QADETHX,QADETHX_,QELEDDZ,QELEDDZ_,VOPELBPR,VOPELBS,VOPELBS_,VOPELEC,VOPELECX,VOPELEC_,VOPETH,VOPETHX,VOPETHX_,VOPETH_,VOPE_BPR,VOPE_ECX,CHGPURCH
20233,05363022,31,0,1,900,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363032,16,0,1,1500,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363042,34,0,1,450,D,,A,1444,T,,A,481,T,,A,1,D,,2,D,1,481,D,,,A,A,A,T,
20233,05363073,13,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363102,29,0,1,2250,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363122,46,0,1,960,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363142,19,0,1,60,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363152,50,0,1,285,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363172,47,0,1,603,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363182,76,0,1,174,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363212,42,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363322,26,0,1,150,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363342,21,0,1,540,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363352,44,0,1,525,D,525,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363382,26,0,1,150,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363392,50,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363402,12,0,1,75,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363442,21,0,1,750,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363532,17,0,1,750,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363552,34,0,1,240,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363612,22,0,1,1500,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363652,11,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363672,28,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363702,33,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363742,46,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363752,21,0,1,480,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363782,29,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363792,56,0,1,747,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363822,17,0,1,240,D,,A,,A,,A,,A,,A,1,D,,,A,2,,D,,,A,A,A,A,
20233,05363842,43,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363852,12,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363862,16,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363872,22,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363882,21,0,1,750,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363892,17,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05363932,41,0,1,1200,D,,A,,A,,A,,A,,A,1,D,,,A,2,,D,,,A,A,A,A,
20233,05364012,17,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364082,27,0,1,900,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364092,23,0,1,96,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364132,18,0,1,360,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364152,26,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364162,39,0,1,1200,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364182,28,0,1,900,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364194,25,0,1,225,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364222,20,0,1,150,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364282,17,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364332,30,0,1,165,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364352,24,0,1,900,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364382,23,0,1,360,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364412,26,0,1,90,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364462,8,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364472,29,0,1,270,D,,A,,A,,A,,A,,A,1,D,,,A,2,,D,,,A,A,A,A,
20233,05364492,16,0,1,720,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364532,61,0,1,360,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364562,34,0,1,1350,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364652,51,0,1,750,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364682,10,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364744,31,0,1,255,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364822,33,0,1,150,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364872,31,0,1,495,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364882,30,0,1,1050,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364942,55,0,1,360,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05364992,28,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365022,25,0,1,960,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365052,39,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365072,65,0,1,900,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365132,47,0,1,705,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365142,14,0,1,1200,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365162,27,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365232,27,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365252,18,0,1,420,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365322,30,0,1,420,D,,A,,A,,A,,A,,A,1,D,,,A,2,,D,,,A,A,A,A,
20233,05365372,26,0,1,1920,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365392,27,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365402,39,0,1,864,D,186,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365432,56,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,2,,D,,,A,A,A,A,
20233,05365452,47,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365492,29,0,1,1050,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365513,44,0,1,1140,D,360,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365522,16,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365552,36,0,1,1200,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365592,27,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365622,20,0,1,75,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365632,39,0,1,2400,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365642,74,0,1,690,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365802,17,0,1,900,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365812,20,0,1,1500,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365832,37,0,1,1080,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365862,46,0,1,1125,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365892,45,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365932,33,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365962,26,0,1,1350,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05365972,57,0,1,1350,D,,A,,A,,A,,A,,A,1,D,,,A,2,,D,,,A,A,A,A,
20233,05365982,16,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366042,39,0,1,642,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366112,24,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366132,32,0,1,1275,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366152,24,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366162,17,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366192,57,0,1,750,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366212,21,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366222,38,0,1,2640,D,,A,,A,,A,,A,,A,1,D,,,A,2,,D,,,A,A,A,A,
20233,05366242,18,0,1,360,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366302,29,0,1,360,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366442,54,0,1,900,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366452,46,0,1,1800,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366482,18,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366502,25,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366512,41,0,1,720,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366532,21,0,1,60,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366542,13,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366552,10,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366572,41,0,1,210,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366582,50,0,1,120,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366592,27,0,1,240,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366662,23,0,1,360,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366672,40,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366712,29,0,1,750,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366742,37,0,1,390,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366772,48,0,1,330,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366782,39,0,1,750,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366792,12,0,1,180,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366802,19,0,1,,A,1500,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366812,40,0,1,225,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366842,16,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366882,15,0,1,1200,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366902,53,0,1,750,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05366912,25,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05411711,30,0,1,,A,,A,165,D,,A,55,D,,A,1,D,,2,D,1,55,D,,,A,A,A,D,
20233,05411721,26,0,1,180,D,,A,,A,,A,,A,,A,1,D,,,A,2,,D,,,A,A,A,A,
20233,05411731,32,0,1,1200,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05411761,35,0,1,1200,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05411811,18,0,1,240,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05411821,29,0,1,750,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05411831,16,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05411881,23,0,1,900,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05411901,48,0,1,900,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20233,05411931,24,0,1,195,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
