QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_,TELPURCH
20232,05091814,27,0,1,,A,,A,,A,1,D,2,D,,A,40,D,40,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,1
20232,05091844,42,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,404,D,404,D,384,D,,A,1,D,
20232,05091844,43,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,150,D,150,D,196,D,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05091844,44,0,1,,A,,A,,A,1,D,2,D,,A,155,D,155,D,155,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05091874,64,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D,200,D,200,D,,A,1,D,
20232,05091874,65,0,1,,A,,A,,A,1,D,1,D,,A,72,E,71,E,71,E,78,E,79,E,79,E,,A,,A,,A,,A,,A,,A,2,D,2,D,
20232,05091894,25,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D,200,D,200,D,,A,1,D,
20232,05091894,26,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,,A,1,D,
20232,05091894,27,0,1,,A,,A,,A,1,D,2,D,,A,80,D,80,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05091894,28,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,130,D,130,D,130,D,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05091924,25,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,100,D,250,D,,A,1,D,
20232,05091924,26,0,1,,A,,A,,A,1,D,1,D,,A,68,E,68,E,69,E,132,E,132,E,131,E,,A,,A,,A,,A,,A,,A,2,D,2,D,
20232,05091954,10,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,90,D,90,D,90,D,,A,1,D,
20232,05091954,11,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,74,D,74,D,74,D,,A,1,D,
20232,05091964,27,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,55,D,55,D,55,D,,A,1,D,
20232,05091974,12,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,47,D,47,D,47,D,,A,1,D,
20232,05092144,37,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,99,D,99,D,99,D,,A,1,D,
20232,05092144,38,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,94,D,94,D,94,D,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05092164,50,0,1,,A,,A,,A,1,D,2,D,,A,88,D,88,D,88,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05092164,51,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,43,D,43,D,43,D,,A,1,D,
20232,05092164,52,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,35,D,35,D,35,D,,A,1,D,
20232,05092234,28,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,130,D,150,D,155,D,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05092234,29,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,25,D,25,D,25,D,,A,1,D,4
20232,05092244,32,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,230,D,230,D,230,D,,A,1,D,
20232,05092244,33,0,1,,A,,A,,A,1,D,1,D,,A,86,E,108,E,87,E,134,E,162,E,133,E,,A,,A,,A,,A,,A,,A,2,D,2,D,
20232,05092264,32,0,1,,A,1,D,,A,1,D,2,D,,A,40,E,40,E,40,E,,A,,A,,A,65,E,65,E,65,E,,A,,A,,A,2,D,1,D,
20232,05092264,33,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,51,D,51,D,51,D,,A,1,D,
20232,05092274,40,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,135,D,135,D,135,D,,A,1,D,
20232,05092274,41,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,250,D,250,D,250,D,,A,1,D,
20232,05092274,42,0,1,,A,,A,,A,1,D,2,D,,A,80,D,80,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05092284,21,0,1,,A,,A,2,D,2,D,2,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,180,D,180,D,0,D,,A,1,D,
