QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,LSDNUM,LSDNUM_,LSDCODE,LSDCODE_,MODELYR,MODELYR_,PRCBSNSZ,PRCB_NSZ,NUMPAY,NUMPAY_,PMTMONTH,PMTM_NTH,PAYEXPX,PAYEXPX_,PAYTIME,PAYTIME_,EMPLYEXP,EMPL_EXP,TRADEEXP,TRAD_EXP,DOWNEXP,DOWNEXP_,DNEMPEXP,DNEM_EXP,LSDENDMO,LSDE_DMO,QADPMT1X,QADP_T1X,QADPMT2X,QADP_T2X,QADPMT3X,QADP_T3X,QEXTRA1X,QEXT_A1X,QEXTRA2X,QEXT_A2X,QEXTRA3X,QEXT_A3X,QADDOWNX,QADD_WNX,QADFEEX,QADFEEX_,LSD__AKE,LSDENDYR,LSDE_DYR,PMTYEAR,PMTYEAR_,LSD_MAKE
20232,05116004,10,0,1,02,D,105,D,2020,D,,A,42,D,01,D,500,D,3,D,,A,,A,,A,,A,03,D,500,D,500,D,,A,,A,,A,,A,,A,,A,D,2023,D,2023,D,SUB
20232,05116584,13,0,5,01,D,105,D,2022,D,,A,36,D,02,D,850,D,3,D,,A,,A,,A,,A,,A,850,D,850,D,850,D,,A,,A,,A,,A,,A,D,,A,2022,D,MAZ
20232,05116674,22,0,5,01,D,105,D,2021,D,,A,36,D,11,D,630,D,3,D,,A,,A,2000,D,,A,,A,630,D,630,D,630,D,,A,,A,,A,2000,D,,A,D,,A,2021,D,ACU
20232,05118164,14,0,5,01,D,105,D,2020,D,,A,36,D,08,D,389,D,3,D,,A,,A,1600,D,,A,,A,389,D,389,D,389,D,,A,,A,,A,1600,D,,A,D,,A,2020,D,CAD
20232,05118164,15,0,5,02,D,105,D,2019,D,,A,36,D,05,D,219,D,3,D,,A,,A,1200,D,,A,,A,219,D,219,D,219,D,,A,,A,,A,1200,D,,A,D,,A,2019,D,CHE
20232,05120614,10,0,1,01,D,105,D,2018,D,,A,60,D,06,D,,C,3,D,,A,5000,D,,C,,A,02,D,400,F,,A,,A,,A,,A,,A,,B,,A,D,2023,D,2018,D,CHR
20232,05122424,11,0,5,01,D,105,D,2022,D,,A,36,D,07,D,365,D,3,D,,A,,A,3000,D,,A,,A,365,D,365,D,365,D,,A,,A,,A,3000,D,,A,D,,A,2022,D,FOR
20232,05124014,19,0,5,01,D,105,D,2022,D,,A,36,D,12,F,,C,3,D,,A,,A,,C,,A,,A,729,F,729,F,729,F,,A,,A,,A,,B,,A,D,,A,2022,D,HON
20232,05124954,15,0,5,01,D,105,D,2020,D,,A,36,D,02,D,580,D,3,D,,A,,A,,A,,A,,A,580,D,580,D,580,D,,A,,A,,A,,A,,A,D,,A,2020,D,SUB
20232,05125284,15,0,5,01,D,105,D,2022,D,,A,36,D,03,D,445,D,3,D,,A,,A,5000,D,,A,,A,445,D,445,D,445,D,,A,,A,,A,5000,D,,A,D,,A,2022,D,TES
20232,05203663,22,0,5,01,D,105,D,2019,D,,A,36,D,05,D,430,D,3,D,,A,,A,10000,D,,A,,A,430,D,430,D,430,D,,A,,A,,A,10000,D,,A,D,,A,2019,D,CAD
20232,05204663,20,0,5,01,D,105,D,2019,D,,A,,C,12,D,576,D,3,D,,A,,A,,A,,A,,A,576,D,576,D,576,D,,A,,A,,A,,A,,A,D,,A,2019,D,CHE
20232,05204713,16,0,5,01,D,105,D,2021,D,,A,36,D,02,D,278,D,3,D,,A,1000,D,,A,,A,,A,278,D,278,D,278,D,,A,,A,,A,,A,,A,D,,A,2021,D,JEE
20232,05204953,13,0,5,01,D,105,D,2017,D,,A,60,D,12,D,348,D,3,D,,A,,A,1000,D,,A,,A,348,D,348,D,348,D,,A,,A,,A,1000,D,,A,D,,A,2021,D,DOD
20232,05204983,14,0,5,01,D,105,D,2020,D,,A,36,D,03,D,359,D,3,D,,A,,A,600,D,,A,03,D,359,D,359,D,359,D,,A,,A,,A,600,D,,A,D,,A,2020,D,HON
20232,05205043,11,0,5,01,D,105,D,2022,D,,A,36,D,01,D,620,D,3,D,,A,,A,2000,D,,A,,A,620,D,620,D,620,D,,A,,A,,A,2000,D,,A,D,,A,2022,D,TOY
20232,05205513,26,0,5,01,D,105,D,2022,D,,A,36,D,03,D,,C,3,D,,A,,A,,A,,A,,A,420,F,420,F,420,F,,A,,A,,A,,A,,A,D,,A,2022,D,SUB
