consumer_unit_id,age_of_reference_person,education_level,region_code,income_range_code,total_annual_spending,spending_class
5116934,49,,South,5.0,264866.249999991,High
5116944,41,,West,3.0,540804.2499900889,High
5117024,31,,West,1.0,16459.99999993,Low
5117204,58,,West,1.0,228242.999999988,High
5117294,37,,Midwest,1.0,84088.999998911,Medium
5117434,37,,Midwest,1.0,113107.000000021,Medium
5117444,60,,Midwest,1.0,66921.000000958,Medium
5117484,55,,West,5.0,275473.399998999,High
5117624,77,,South,1.0,192358.000001009,High
5117744,53,,Northeast,1.0,142114.999999972,High
5117954,62,,Midwest,1.0,129337.99999899301,High
5117974,38,,South,1.0,136177.99999991,High
5117984,27,,South,3.0,15543.000000012,Low
5118164,81,,Midwest,5.0,151787.99999889202,High
5118274,55,,South,1.0,172277.999998932,High
5118394,32,,Northeast,1.0,217852.74999909,High
5118464,29,,West,1.0,10367.9999999899,Low
5118494,45,,Midwest,1.0,54139.000000879,Medium
5118554,41,,West,1.0,264872.99999894,High
5118794,43,,South,1.0,15525.0,Low
5118824,56,,West,1.0,222632.749999998,High
5118884,58,,Northeast,1.0,82178.000001001,Medium
5119174,31,,South,1.0,24829.4999999901,Low
5119204,37,,West,1.0,30193.000000011,Medium
5119284,56,,West,5.0,227219.9999991,High
5119384,67,,Northeast,5.0,88462.999998999,Medium
5119394,52,,West,1.0,177813.00000002,High
5119434,47,,Midwest,1.0,104962.99999889,Medium
5119454,50,,South,2.0,156137.00000097998,High
5119984,52,,South,4.0,67362.000001007,Medium
5120044,38,,West,1.0,81464.99999991,Medium
5120074,45,,South,1.0,93996.0000010208,Medium
5120084,44,,West,1.0,291552.99999897,High
5120204,51,,Midwest,1.0,71413.000000011,Medium
5120244,59,,Midwest,1.0,35201.999999889995,Medium
5120254,24,,West,1.0,143635.25000100798,High
5120384,54,,Northeast,1.0,114798.000001031,Medium
5120454,40,,West,1.0,20702.00000001,Low
5120544,72,,West,3.0,122136.49999902911,High
5120614,51,,Northeast,1.0,65681.00000098,Medium
5120764,64,,West,1.0,121620.000000011,High
5120774,78,,West,1.0,225554.00000098,High
5120854,27,,South,1.0,12919.999999999,Low
5120914,60,,South,1.0,14457.999999978,Low
5120954,42,,Northeast,1.0,11338.9999999991,Low
5120984,37,,Midwest,1.0,87429.999998919,Medium
5121024,41,,Northeast,1.0,352784.2500009989,High
5121144,44,,South,4.0,27501.00000001,Low
5121224,30,,Midwest,1.0,59288.999998998,Medium
5121244,38,,South,1.0,180018.99999994,High
